ts,bombeamento/vazao,decantacao/turbidez,nivel/reservatorio,pressao/linha1,qualidade/cloro,qualidade/ph
2025-08-20T11:14:00.784710+00:00,145.115,0.141,57.533,2.931,1.798,7.12
2025-08-20T11:29:00.784710+00:00,147.743,0.193,58.944,2.865,1.543,7.146
2025-08-20T11:44:00.784710+00:00,139.59,0.268,59.15,2.951,1.668,7.169
2025-08-20T11:59:00.784710+00:00,133.704,0.245,58.489,2.968,1.647,7.173
2025-08-20T12:14:00.784710+00:00,140.107,0.246,57.554,2.873,1.589,7.176
2025-08-20T12:29:00.784710+00:00,140.85,0.333,60.575,2.996,1.399,7.105
2025-08-20T12:44:00.784710+00:00,136.766,0.17,59.0,3.07,1.421,7.096
2025-08-20T12:59:00.784710+00:00,119.373,0.231,59.641,3.039,1.479,7.174
2025-08-20T13:14:00.784710+00:00,123.836,0.247,59.02,2.958,1.313,7.11
2025-08-20T13:29:00.784710+00:00,128.052,0.194,59.555,2.819,1.736,7.044
2025-08-20T13:44:00.784710+00:00,136.298,0.232,60.895,3.022,1.609,7.052
2025-08-20T13:59:00.784710+00:00,129.829,0.15,60.382,2.976,1.56,7.065
2025-08-20T14:14:00.784710+00:00,139.162,0.301,62.398,2.999,1.301,7.15
2025-08-20T14:29:00.784710+00:00,140.785,0.197,60.245,3.122,1.346,7.129
2025-08-20T14:44:00.784710+00:00,140.18,0.333,56.568,2.904,1.566,7.163
2025-08-20T14:59:00.784710+00:00,140.68,0.231,59.731,2.744,1.805,7.097
2025-08-20T15:14:00.784710+00:00,123.313,0.285,59.62,2.895,1.488,7.134
2025-08-20T15:29:00.784710+00:00,136.165,0.233,62.235,3.024,1.68,7.164
2025-08-20T15:44:00.784710+00:00,128.257,0.236,56.687,2.994,1.524,7.11
2025-08-20T15:59:00.784710+00:00,120.854,0.21,59.995,2.902,1.594,7.158
2025-08-20T16:14:00.784710+00:00,132.787,0.248,57.805,2.895,1.739,7.094
2025-08-20T16:29:00.784710+00:00,146.831,0.26,60.508,2.99,1.559,7.115
2025-08-20T16:44:00.784710+00:00,141.168,0.208,59.396,2.929,1.526,7.117
2025-08-20T16:59:00.784710+00:00,154.97,0.244,61.153,3.082,1.787,7.072
2025-08-20T17:14:00.784710+00:00,141.681,0.223,57.766,3.02,1.631,7.177
2025-08-20T17:29:00.784710+00:00,161.366,0.372,62.589,3.015,1.766,7.123
2025-08-20T17:44:00.784710+00:00,144.802,0.257,61.851,3.018,1.563,7.156
2025-08-20T17:59:00.784710+00:00,145.232,0.342,62.199,3.114,1.825,7.189
2025-08-20T18:14:00.784710+00:00,136.551,0.259,66.267,3.111,1.7,7.192
2025-08-20T18:29:00.784710+00:00,157.461,0.286,62.089,3.139,1.731,7.209
2025-08-20T18:44:00.784710+00:00,146.399,0.212,64.039,3.153,1.706,7.169
2025-08-20T18:59:00.784710+00:00,147.12,0.26,64.066,3.148,1.642,7.154
2025-08-20T19:14:00.784710+00:00,164.459,0.297,64.782,3.088,1.715,7.18
2025-08-20T19:29:00.784710+00:00,165.414,0.37,69.357,3.128,1.674,7.088
2025-08-20T19:44:00.784710+00:00,167.159,0.307,65.572,3.172,1.855,7.108
2025-08-20T19:59:00.784710+00:00,157.168,0.369,64.843,3.385,1.728,7.121
2025-08-20T20:14:00.784710+00:00,161.62,0.337,70.253,3.128,1.585,7.146
2025-08-20T20:29:00.784710+00:00,163.503,0.391,66.427,3.219,1.576,7.235
2025-08-20T20:44:00.784710+00:00,172.179,0.311,64.358,3.277,1.583,7.161
2025-08-20T20:59:00.784710+00:00,180.259,0.438,66.607,3.261,1.876,7.198
2025-08-20T21:14:00.784710+00:00,172.654,0.298,66.106,3.387,1.676,7.304
2025-08-20T21:29:00.784710+00:00,187.344,0.289,65.499,3.292,1.862,7.209
2025-08-20T21:44:00.784710+00:00,180.509,0.271,68.859,3.313,1.854,7.28
2025-08-20T21:59:00.784710+00:00,173.183,0.452,69.916,3.411,1.841,7.184
2025-08-20T22:14:00.784710+00:00,183.356,0.38,72.872,3.505,1.912,7.232
2025-08-20T22:29:00.784710+00:00,191.968,0.326,72.205,3.486,1.888,7.192
2025-08-20T22:44:00.784710+00:00,195.821,0.409,72.527,3.376,1.554,7.233
2025-08-20T22:59:00.784710+00:00,190.76,0.384,69.965,3.395,1.849,7.307
2025-08-20T23:14:00.784710+00:00,182.81,0.451,73.888,3.414,1.947,7.157
2025-08-20T23:29:00.784710+00:00,182.113,0.278,75.242,3.432,2.101,7.29
2025-08-20T23:44:00.784710+00:00,189.595,0.345,73.562,3.363,2.113,7.281
2025-08-20T23:59:00.784710+00:00,220.839,0.338,73.904,3.514,1.754,7.234
2025-08-21T00:14:00.784710+00:00,190.41,0.264,70.785,3.464,1.881,7.185
2025-08-21T00:29:00.784710+00:00,191.382,0.418,75.648,3.45,1.74,7.278
2025-08-21T00:44:00.784710+00:00,188.844,0.353,77.294,3.358,2.114,7.244
2025-08-21T00:59:00.784710+00:00,186.375,0.405,74.539,3.47,2.057,7.291
2025-08-21T01:14:00.784710+00:00,188.142,0.487,72.832,3.317,1.98,7.28
2025-08-21T01:29:00.784710+00:00,190.837,0.352,73.791,3.425,1.959,7.375
2025-08-21T01:44:00.784710+00:00,203.686,0.349,73.334,3.428,2.106,7.265
2025-08-21T01:59:00.784710+00:00,188.082,0.376,73.479,3.497,2.085,7.219
2025-08-21T02:14:00.784710+00:00,190.351,0.419,75.488,3.624,2.078,7.291
2025-08-21T02:29:00.784710+00:00,182.809,0.341,74.708,3.518,1.992,7.292
2025-08-21T02:44:00.784710+00:00,195.14,0.337,76.08,3.586,1.893,7.36
2025-08-21T02:59:00.784710+00:00,199.889,0.42,74.704,3.518,2.023,7.327
2025-08-21T03:14:00.784710+00:00,201.376,0.385,72.09,3.552,2.025,7.297
2025-08-21T03:29:00.784710+00:00,189.31,0.262,72.641,3.604,1.899,7.362
2025-08-21T03:44:00.784710+00:00,191.463,0.301,72.309,3.391,1.873,7.2
2025-08-21T03:59:00.784710+00:00,184.709,0.436,72.824,3.378,2.086,7.231
2025-08-21T04:14:00.784710+00:00,189.119,0.378,76.519,3.487,2.101,7.211
2025-08-21T04:29:00.784710+00:00,186.258,0.317,76.543,3.424,1.803,7.24
2025-08-21T04:44:00.784710+00:00,182.962,0.344,73.983,3.431,1.853,7.177
2025-08-21T04:59:00.784710+00:00,182.252,0.35,72.198,3.383,1.917,7.295
2025-08-21T05:14:00.784710+00:00,183.327,0.383,68.864,3.343,1.923,7.239
2025-08-21T05:29:00.784710+00:00,175.837,0.275,71.631,3.508,1.792,7.16
2025-08-21T05:44:00.784710+00:00,174.651,0.297,69.195,3.277,2.069,7.183
2025-08-21T05:59:00.784710+00:00,188.579,0.348,73.6,3.406,1.882,7.259
2025-08-21T06:14:00.784710+00:00,194.869,0.326,66.674,3.379,1.883,7.285
2025-08-21T06:29:00.784710+00:00,161.759,0.355,70.188,3.196,2.018,7.35
2025-08-21T06:44:00.784710+00:00,159.478,0.261,67.19,3.241,1.74,7.4
2025-08-21T06:59:00.784710+00:00,160.015,0.336,68.427,3.239,1.771,7.245
2025-08-21T07:14:00.784710+00:00,164.932,0.368,69.278,3.321,1.617,7.156
2025-08-21T07:29:00.784710+00:00,170.986,0.333,69.483,3.231,1.734,7.082
2025-08-21T07:44:00.784710+00:00,166.595,0.311,66.806,3.237,1.562,7.221
2025-08-21T07:59:00.784710+00:00,161.278,0.295,67.937,3.111,1.817,7.151
2025-08-21T08:14:00.784710+00:00,162.171,0.253,64.576,3.398,1.764,7.17
2025-08-21T08:29:00.784710+00:00,150.449,0.287,65.881,3.201,1.667,7.153
2025-08-21T08:44:00.784710+00:00,152.096,0.349,66.888,3.22,1.675,7.176
2025-08-21T08:59:00.784710+00:00,151.977,0.276,65.048,3.121,1.765,7.243
2025-08-21T09:14:00.784710+00:00,137.587,0.233,62.835,3.096,1.524,7.183
2025-08-21T09:29:00.784710+00:00,139.135,0.248,62.856,3.287,1.672,7.16
2025-08-21T09:44:00.784710+00:00,137.667,0.279,64.979,2.966,1.719,7.102
2025-08-21T09:59:00.784710+00:00,151.023,0.246,60.313,3.127,1.41,7.059
2025-08-21T10:14:00.784710+00:00,145.209,0.285,60.174,2.994,1.694,7.126
2025-08-21T10:29:00.784710+00:00,146.542,0.283,62.851,3.046,1.4,7.148
2025-08-21T10:44:00.784710+00:00,125.423,0.298,60.376,3.014,1.576,7.253
2025-08-21T10:59:00.784710+00:00,126.843,0.322,57.978,2.975,1.44,7.151
2025-08-21T11:14:00.784710+00:00,142.68,0.297,63.239,3.046,1.742,7.199
2025-08-21T11:29:00.784710+00:00,113.905,0.198,58.017,2.827,1.423,7.106
2025-08-21T11:44:00.784710+00:00,144.793,0.196,59.524,2.998,1.356,7.062
2025-08-21T11:59:00.784710+00:00,119.378,0.235,58.419,3.008,1.562,7.073
2025-08-21T12:14:00.784710+00:00,139.792,0.215,58.827,2.899,1.49,7.085
2025-08-21T12:29:00.784710+00:00,125.133,0.178,57.449,3.122,1.353,7.254
2025-08-21T12:44:00.784710+00:00,139.948,0.212,60.474,2.948,1.592,7.075
2025-08-21T12:59:00.784710+00:00,156.659,0.209,59.127,2.972,1.286,7.173
2025-08-21T13:14:00.784710+00:00,112.369,0.198,60.766,2.94,1.397,7.067
2025-08-21T13:29:00.784710+00:00,135.805,0.215,57.507,2.979,1.45,7.177
2025-08-21T13:44:00.784710+00:00,115.592,0.289,62.952,3.089,1.613,7.143
2025-08-21T13:59:00.784710+00:00,133.414,0.24,54.871,3.181,1.671,7.111
2025-08-21T14:14:00.784710+00:00,128.418,0.354,55.54,3.044,1.648,7.118
2025-08-21T14:29:00.784710+00:00,131.31,0.239,62.279,3.073,1.498,7.081
2025-08-21T14:44:00.784710+00:00,123.306,0.217,59.819,3.127,1.227,7.148
2025-08-21T14:59:00.784710+00:00,137.297,0.233,59.684,3.013,1.568,7.096
2025-08-21T15:14:00.784710+00:00,120.043,0.247,60.028,3.124,1.701,7.051
2025-08-21T15:29:00.784710+00:00,142.262,0.257,60.504,3.068,1.677,7.05
2025-08-21T15:44:00.784710+00:00,129.873,0.341,60.189,3.023,1.589,7.139
2025-08-21T15:59:00.784710+00:00,122.858,0.197,57.917,3.047,1.396,7.226
2025-08-21T16:14:00.784710+00:00,147.883,0.285,61.773,2.882,1.483,7.143
2025-08-21T16:29:00.784710+00:00,135.735,0.255,61.775,3.061,1.785,7.13
2025-08-21T16:44:00.784710+00:00,152.787,0.169,63.654,2.925,1.391,7.157
2025-08-21T16:59:00.784710+00:00,148.645,0.289,64.695,2.93,1.431,7.222
2025-08-21T17:14:00.784710+00:00,133.927,0.317,62.222,3.088,1.691,7.161
2025-08-21T17:29:00.784710+00:00,141.156,0.215,59.522,2.996,1.536,7.127
2025-08-21T17:44:00.784710+00:00,144.405,0.261,65.959,3.098,1.456,7.222
2025-08-21T17:59:00.784710+00:00,157.319,0.179,60.833,3.124,1.792,7.186
2025-08-21T18:14:00.784710+00:00,150.345,0.206,64.018,3.142,1.675,7.257
2025-08-21T18:29:00.784710+00:00,150.047,0.326,63.317,3.07,1.585,7.181
2025-08-21T18:44:00.784710+00:00,148.879,0.254,63.47,3.23,1.505,7.101
2025-08-21T18:59:00.784710+00:00,151.955,0.227,66.372,3.167,1.901,7.098
2025-08-21T19:14:00.784710+00:00,164.71,0.298,65.853,3.225,1.664,7.284
2025-08-21T19:29:00.784710+00:00,156.242,0.265,66.917,3.111,1.847,7.293
2025-08-21T19:44:00.784710+00:00,155.008,0.272,64.791,3.209,1.799,7.184
2025-08-21T19:59:00.784710+00:00,155.615,0.337,66.607,3.327,1.642,7.177
2025-08-21T20:14:00.784710+00:00,157.663,0.247,51.233,3.334,1.656,7.293
2025-08-21T20:29:00.784710+00:00,152.83,0.264,67.622,3.209,1.904,7.144
2025-08-21T20:44:00.784710+00:00,159.98,0.322,68.309,3.245,1.918,7.162
2025-08-21T20:59:00.784710+00:00,179.881,0.367,72.754,3.226,1.529,7.26
2025-08-21T21:14:00.784710+00:00,168.117,0.385,69.057,3.268,1.833,7.202
2025-08-21T21:29:00.784710+00:00,177.24,0.294,65.824,3.224,1.764,7.231
2025-08-21T21:44:00.784710+00:00,153.56,0.378,73.352,3.34,1.666,7.226
2025-08-21T21:59:00.784710+00:00,179.664,0.296,71.931,3.417,1.832,7.261
2025-08-21T22:14:00.784710+00:00,175.49,0.43,71.224,3.317,1.649,7.329
2025-08-21T22:29:00.784710+00:00,174.52,0.286,71.045,3.386,1.765,7.254
2025-08-21T22:44:00.784710+00:00,181.332,0.413,70.439,3.389,1.735,7.292
2025-08-21T22:59:00.784710+00:00,177.345,0.317,76.6,3.503,1.78,7.134
2025-08-21T23:14:00.784710+00:00,165.656,0.454,73.194,3.381,1.84,7.257
2025-08-21T23:29:00.784710+00:00,191.264,0.385,69.955,3.394,1.734,7.213
2025-08-21T23:44:00.784710+00:00,186.966,0.308,74.399,3.382,2.052,7.194
2025-08-21T23:59:00.784710+00:00,183.54,0.335,76.44,3.368,1.929,7.217
2025-08-22T00:14:00.784710+00:00,179.239,0.402,74.595,3.509,2.091,7.252
2025-08-22T00:29:00.784710+00:00,176.012,0.417,72.703,3.463,1.861,7.329
2025-08-22T00:44:00.784710+00:00,190.245,0.363,72.716,3.484,1.818,7.196
2025-08-22T00:59:00.784710+00:00,201.922,0.37,73.023,3.586,2.098,7.279
2025-08-22T01:14:00.784710+00:00,191.077,0.407,78.028,3.595,1.82,7.249
2025-08-22T01:29:00.784710+00:00,178.7,0.376,74.934,3.359,1.87,7.26
2025-08-22T01:44:00.784710+00:00,191.746,0.305,71.779,3.544,1.979,7.34
2025-08-22T01:59:00.784710+00:00,189.573,0.329,75.929,3.511,1.743,7.312
2025-08-22T02:14:00.784710+00:00,196.838,0.382,75.433,3.456,1.976,7.36
2025-08-22T02:29:00.784710+00:00,194.577,0.43,74.209,3.518,1.959,7.27
2025-08-22T02:44:00.784710+00:00,165.507,0.449,72.988,3.351,2.039,7.237
2025-08-22T02:59:00.784710+00:00,193.301,0.406,72.79,3.602,1.99,7.264
2025-08-22T03:14:00.784710+00:00,180.331,0.381,76.946,3.522,2.035,7.29
2025-08-22T03:29:00.784710+00:00,176.284,0.402,75.091,3.406,1.86,7.284
2025-08-22T03:44:00.784710+00:00,185.331,0.329,75.345,3.421,1.764,7.207
2025-08-22T03:59:00.784710+00:00,189.192,0.353,74.638,3.324,2.114,7.275
2025-08-22T04:14:00.784710+00:00,171.733,0.317,74.535,3.427,1.67,7.28
2025-08-22T04:29:00.784710+00:00,189.343,0.293,72.646,3.404,1.674,7.414
2025-08-22T04:44:00.784710+00:00,188.56,0.369,72.847,3.327,1.904,7.372
2025-08-22T04:59:00.784710+00:00,181.479,0.359,75.238,3.484,2.022,7.205
2025-08-22T05:14:00.784710+00:00,172.722,0.38,75.363,3.512,1.839,7.235
2025-08-22T05:29:00.784710+00:00,170.303,0.37,69.693,3.395,1.926,7.161
2025-08-22T05:44:00.784710+00:00,184.743,0.351,71.304,3.36,1.555,7.209
2025-08-22T05:59:00.784710+00:00,162.773,0.363,72.963,3.405,1.723,7.259
2025-08-22T06:14:00.784710+00:00,181.642,0.328,74.595,3.354,1.546,7.307
2025-08-22T06:29:00.784710+00:00,170.011,0.347,73.927,3.255,1.852,7.186
2025-08-22T06:44:00.784710+00:00,168.725,0.286,68.29,3.274,1.56,7.186
2025-08-22T06:59:00.784710+00:00,153.944,0.336,71.94,3.287,1.579,7.091
2025-08-22T07:14:00.784710+00:00,164.52,0.347,69.007,3.315,1.781,7.205
2025-08-22T07:29:00.784710+00:00,168.664,0.275,70.471,3.28,1.833,7.146
2025-08-22T07:44:00.784710+00:00,151.108,0.307,69.447,3.28,1.673,7.173
2025-08-22T07:59:00.784710+00:00,163.825,0.268,64.829,3.125,1.747,7.147
2025-08-22T08:14:00.784710+00:00,158.586,0.269,67.944,3.284,1.73,7.189
2025-08-22T08:29:00.784710+00:00,150.771,0.234,68.344,3.215,1.626,7.084
2025-08-22T08:44:00.784710+00:00,160.822,0.349,65.787,3.403,1.507,7.096
2025-08-22T08:59:00.784710+00:00,134.457,0.335,64.835,3.152,1.693,7.307
2025-08-22T09:14:00.784710+00:00,152.972,0.304,61.694,3.193,1.686,7.097
2025-08-22T09:29:00.784710+00:00,161.32,0.371,65.725,3.379,1.707,7.103
2025-08-22T09:44:00.784710+00:00,158.1,0.259,64.31,3.153,1.624,7.274
2025-08-22T09:59:00.784710+00:00,147.972,0.416,61.598,3.118,1.435,7.334
2025-08-22T10:14:00.784710+00:00,140.779,0.249,62.357,3.031,1.646,7.085
2025-08-22T10:29:00.784710+00:00,136.516,0.27,62.904,3.219,1.552,7.129
2025-08-22T10:44:00.784710+00:00,137.668,0.234,61.085,2.992,1.484,7.167
2025-08-22T10:59:00.784710+00:00,143.016,0.269,61.837,3.107,1.496,7.247
2025-08-22T11:14:00.784710+00:00,130.873,0.289,57.986,3.024,1.44,7.08
2025-08-22T11:29:00.784710+00:00,142.154,0.239,63.865,3.036,1.62,7.122
2025-08-22T11:44:00.784710+00:00,152.025,0.33,60.905,2.928,1.335,7.18
2025-08-22T11:59:00.784710+00:00,133.437,0.251,58.411,3.141,1.379,7.157
2025-08-22T12:14:00.784710+00:00,122.262,0.251,55.456,3.004,1.452,7.105
2025-08-22T12:29:00.784710+00:00,121.459,0.19,62.23,2.923,2.248,7.118
2025-08-22T12:44:00.784710+00:00,137.748,0.255,61.117,3.115,1.607,7.042
2025-08-22T12:59:00.784710+00:00,130.499,0.226,60.283,2.97,1.28,7.108
2025-08-22T13:14:00.784710+00:00,137.557,0.201,61.483,3.034,1.635,7.105
2025-08-22T13:29:00.784710+00:00,125.965,0.192,61.405,3.072,1.632,7.135
2025-08-22T13:44:00.784710+00:00,136.698,0.364,60.034,3.041,1.328,7.087
2025-08-22T13:59:00.784710+00:00,128.734,0.217,59.133,2.827,1.165,7.148
2025-08-22T14:14:00.784710+00:00,124.217,0.157,58.837,3.059,1.459,7.181
2025-08-22T14:29:00.784710+00:00,127.073,0.196,60.578,2.998,1.604,7.13
2025-08-22T14:44:00.784710+00:00,121.036,0.229,62.628,2.982,1.661,7.143
2025-08-22T14:59:00.784710+00:00,146.985,0.26,59.76,3.004,1.369,7.126
2025-08-22T15:14:00.784710+00:00,130.881,0.262,63.084,2.889,1.687,7.124
2025-08-22T15:29:00.784710+00:00,137.511,0.269,61.075,3.039,1.213,7.083
2025-08-22T15:44:00.784710+00:00,128.881,0.205,61.319,2.922,1.441,7.147
2025-08-22T15:59:00.784710+00:00,125.697,0.257,65.628,3.016,1.441,7.125
2025-08-22T16:14:00.784710+00:00,133.289,0.198,64.412,3.06,1.636,7.259
2025-08-22T16:29:00.784710+00:00,145.123,0.214,64.782,3.143,1.661,7.231
2025-08-22T16:44:00.784710+00:00,133.403,0.202,60.174,3.003,1.627,7.163
2025-08-22T16:59:00.784710+00:00,131.956,0.191,66.524,3.196,1.359,7.098
2025-08-22T17:14:00.784710+00:00,141.606,0.307,62.37,3.168,1.634,7.081
2025-08-22T17:29:00.784710+00:00,145.88,0.292,62.496,3.07,1.601,7.223
2025-08-22T17:44:00.784710+00:00,156.634,0.31,59.07,3.03,1.35,7.172
2025-08-22T17:59:00.784710+00:00,147.996,0.267,64.498,3.017,1.313,7.189
2025-08-22T18:14:00.784710+00:00,152.055,0.308,62.152,3.169,1.697,7.06
2025-08-22T18:29:00.784710+00:00,154.452,0.186,65.623,3.103,1.562,7.226
2025-08-22T18:44:00.784710+00:00,141.316,0.321,62.985,3.274,1.441,7.202
2025-08-22T18:59:00.784710+00:00,144.716,0.291,69.416,3.139,1.582,7.113
2025-08-22T19:14:00.784710+00:00,145.667,0.318,67.444,3.138,1.663,7.157
2025-08-22T19:29:00.784710+00:00,145.62,0.31,71.428,3.245,1.622,7.206
2025-08-22T19:44:00.784710+00:00,164.597,0.247,65.354,3.188,1.458,7.198
2025-08-22T19:59:00.784710+00:00,162.517,0.226,71.032,3.26,1.884,7.183
2025-08-22T20:14:00.784710+00:00,162.795,0.269,64.861,3.355,1.79,7.2
2025-08-22T20:29:00.784710+00:00,143.37,0.338,69.414,3.302,1.642,7.196
2025-08-22T20:44:00.784710+00:00,182.491,0.349,68.26,3.318,1.659,7.225
2025-08-22T20:59:00.784710+00:00,160.803,0.25,69.147,3.341,1.75,7.31
2025-08-22T21:14:00.784710+00:00,186.247,0.274,69.52,3.205,1.583,7.072
2025-08-22T21:29:00.784710+00:00,160.071,0.291,69.222,3.387,1.769,7.217
2025-08-22T21:44:00.784710+00:00,166.95,0.314,69.018,3.384,1.582,7.246
2025-08-22T21:59:00.784710+00:00,157.552,0.267,71.123,3.457,1.745,7.258
2025-08-22T22:14:00.784710+00:00,179.732,0.268,72.692,3.448,1.623,7.223
2025-08-22T22:29:00.784710+00:00,169.614,0.302,75.221,3.397,1.64,7.144
2025-08-22T22:44:00.784710+00:00,171.349,0.351,73.897,3.509,1.981,7.273
2025-08-22T22:59:00.784710+00:00,170.377,0.291,76.029,3.415,1.799,7.361
2025-08-22T23:14:00.784710+00:00,188.909,0.424,71.105,3.469,1.826,7.168
2025-08-22T23:29:00.784710+00:00,189.617,0.409,73.535,3.435,1.567,7.316
2025-08-22T23:44:00.784710+00:00,199.555,0.293,76.135,3.506,1.744,7.247
2025-08-22T23:59:00.784710+00:00,180.598,0.351,75.683,3.448,1.877,7.266
2025-08-23T00:14:00.784710+00:00,188.748,0.414,73.528,3.618,1.851,7.209
2025-08-23T00:29:00.784710+00:00,177.481,0.344,77.341,3.654,1.574,7.254
2025-08-23T00:44:00.784710+00:00,185.794,0.338,74.602,3.569,1.861,7.354
2025-08-23T00:59:00.784710+00:00,184.881,0.426,74.268,3.627,1.883,7.312
2025-08-23T01:14:00.784710+00:00,193.18,0.353,76.922,3.384,1.996,7.383
2025-08-23T01:29:00.784710+00:00,197.906,0.425,76.052,3.396,1.765,7.35
2025-08-23T01:44:00.784710+00:00,197.877,0.391,75.052,3.486,1.575,7.306
2025-08-23T01:59:00.784710+00:00,183.257,0.353,75.007,3.516,1.724,7.385
2025-08-23T02:14:00.784710+00:00,197.909,0.394,73.97,3.496,1.711,7.306
2025-08-23T02:29:00.784710+00:00,189.362,0.385,75.273,3.379,1.929,7.329
