ts,tag,value,unit,quality,meta
2025-08-19T22:44:00.784710+00:00,bombeamento/vazao,197.967,m3/h,True,"{""sim"": true}"
2025-08-19T22:44:00.784710+00:00,pressao/linha1,3.368,bar,True,"{""sim"": true}"
2025-08-19T22:44:00.784710+00:00,qualidade/cloro,1.859,mg/L,True,"{""sim"": true}"
2025-08-19T22:44:00.784710+00:00,nivel/reservatorio,73.237,%,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,decantacao/turbidez,0.352,NTU,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,qualidade/cloro,1.891,mg/L,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,pressao/linha1,3.379,bar,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,qualidade/ph,7.261,pH,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,nivel/reservatorio,70.361,%,True,"{""sim"": true}"
2025-08-19T22:59:00.784710+00:00,bombeamento/vazao,182.862,m3/h,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,bombeamento/vazao,176.356,m3/h,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,qualidade/ph,7.328,pH,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,nivel/reservatorio,71.837,%,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,qualidade/cloro,2.015,mg/L,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,pressao/linha1,3.317,bar,True,"{""sim"": true}"
2025-08-19T23:14:00.784710+00:00,decantacao/turbidez,0.41,NTU,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,nivel/reservatorio,73.926,%,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,pressao/linha1,3.436,bar,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,decantacao/turbidez,0.357,NTU,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,qualidade/ph,7.292,pH,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,qualidade/cloro,1.838,mg/L,True,"{""sim"": true}"
2025-08-19T23:29:00.784710+00:00,bombeamento/vazao,187.089,m3/h,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,bombeamento/vazao,181.19,m3/h,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,nivel/reservatorio,73.613,%,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,pressao/linha1,3.279,bar,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,qualidade/ph,7.215,pH,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,qualidade/cloro,1.923,mg/L,True,"{""sim"": true}"
2025-08-19T23:44:00.784710+00:00,decantacao/turbidez,0.298,NTU,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,bombeamento/vazao,174.833,m3/h,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,nivel/reservatorio,73.152,%,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,qualidade/cloro,1.946,mg/L,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,qualidade/ph,7.291,pH,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,pressao/linha1,2.897,bar,True,"{""sim"": true}"
2025-08-19T23:59:00.784710+00:00,decantacao/turbidez,0.388,NTU,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,pressao/linha1,3.491,bar,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,decantacao/turbidez,0.339,NTU,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,bombeamento/vazao,192.52,m3/h,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,qualidade/cloro,1.917,mg/L,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,nivel/reservatorio,71.691,%,True,"{""sim"": true}"
2025-08-20T00:14:00.784710+00:00,qualidade/ph,7.214,pH,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,decantacao/turbidez,0.459,NTU,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,pressao/linha1,3.486,bar,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,qualidade/ph,7.327,pH,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,qualidade/cloro,2.073,mg/L,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,bombeamento/vazao,196.664,m3/h,True,"{""sim"": true}"
2025-08-20T00:29:00.784710+00:00,nivel/reservatorio,72.255,%,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,qualidade/ph,7.273,pH,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,pressao/linha1,3.302,bar,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,qualidade/cloro,2.057,mg/L,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,bombeamento/vazao,185.925,m3/h,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,nivel/reservatorio,75.042,%,True,"{""sim"": true}"
2025-08-20T00:44:00.784710+00:00,decantacao/turbidez,0.366,NTU,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,qualidade/ph,7.266,pH,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,pressao/linha1,3.382,bar,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,bombeamento/vazao,185.963,m3/h,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,decantacao/turbidez,0.256,NTU,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,nivel/reservatorio,75.62,%,True,"{""sim"": true}"
2025-08-20T00:59:00.784710+00:00,qualidade/cloro,2.123,mg/L,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,nivel/reservatorio,71.871,%,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,qualidade/ph,7.238,pH,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,qualidade/cloro,1.946,mg/L,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,pressao/linha1,3.561,bar,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,decantacao/turbidez,0.387,NTU,True,"{""sim"": true}"
2025-08-20T01:14:00.784710+00:00,bombeamento/vazao,181.734,m3/h,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,nivel/reservatorio,71.665,%,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,qualidade/cloro,2.132,mg/L,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,bombeamento/vazao,188.546,m3/h,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,decantacao/turbidez,0.467,NTU,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,pressao/linha1,3.784,bar,True,"{""sim"": true}"
2025-08-20T01:29:00.784710+00:00,qualidade/ph,7.353,pH,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,qualidade/ph,7.271,pH,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,bombeamento/vazao,185.438,m3/h,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,decantacao/turbidez,0.449,NTU,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,qualidade/cloro,1.824,mg/L,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,pressao/linha1,3.55,bar,True,"{""sim"": true}"
2025-08-20T01:44:00.784710+00:00,nivel/reservatorio,71.405,%,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,qualidade/ph,7.254,pH,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,decantacao/turbidez,0.462,NTU,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,nivel/reservatorio,74.899,%,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,qualidade/cloro,1.821,mg/L,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,pressao/linha1,3.538,bar,True,"{""sim"": true}"
2025-08-20T01:59:00.784710+00:00,bombeamento/vazao,181.912,m3/h,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,nivel/reservatorio,71.374,%,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,qualidade/cloro,1.841,mg/L,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,qualidade/ph,7.259,pH,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,decantacao/turbidez,0.319,NTU,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,bombeamento/vazao,205.072,m3/h,True,"{""sim"": true}"
2025-08-20T02:14:00.784710+00:00,pressao/linha1,3.496,bar,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,qualidade/cloro,1.986,mg/L,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,nivel/reservatorio,74.826,%,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,bombeamento/vazao,193.473,m3/h,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,decantacao/turbidez,0.415,NTU,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,qualidade/ph,7.311,pH,True,"{""sim"": true}"
2025-08-20T02:29:00.784710+00:00,pressao/linha1,3.385,bar,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,bombeamento/vazao,193.999,m3/h,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,qualidade/cloro,2.127,mg/L,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,nivel/reservatorio,74.207,%,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,pressao/linha1,3.53,bar,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,decantacao/turbidez,0.333,NTU,True,"{""sim"": true}"
2025-08-20T02:44:00.784710+00:00,qualidade/ph,7.3,pH,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,qualidade/cloro,1.907,mg/L,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,nivel/reservatorio,71.916,%,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,qualidade/ph,7.302,pH,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,decantacao/turbidez,0.379,NTU,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,bombeamento/vazao,196.04,m3/h,True,"{""sim"": true}"
2025-08-20T02:59:00.784710+00:00,pressao/linha1,3.359,bar,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,decantacao/turbidez,0.303,NTU,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,bombeamento/vazao,194.57,m3/h,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,qualidade/cloro,1.918,mg/L,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,pressao/linha1,3.346,bar,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,nivel/reservatorio,75.992,%,True,"{""sim"": true}"
2025-08-20T03:14:00.784710+00:00,qualidade/ph,7.302,pH,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,bombeamento/vazao,184.404,m3/h,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,qualidade/ph,7.402,pH,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,nivel/reservatorio,69.765,%,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,decantacao/turbidez,0.332,NTU,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,pressao/linha1,3.335,bar,True,"{""sim"": true}"
2025-08-20T03:29:00.784710+00:00,qualidade/cloro,1.944,mg/L,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,pressao/linha1,3.508,bar,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,qualidade/cloro,2.033,mg/L,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,qualidade/ph,7.247,pH,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,bombeamento/vazao,189.077,m3/h,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,nivel/reservatorio,75.802,%,True,"{""sim"": true}"
2025-08-20T03:44:00.784710+00:00,decantacao/turbidez,0.329,NTU,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,qualidade/cloro,1.9,mg/L,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,bombeamento/vazao,183.818,m3/h,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,qualidade/ph,7.239,pH,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,nivel/reservatorio,72.883,%,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,decantacao/turbidez,0.406,NTU,True,"{""sim"": true}"
2025-08-20T03:59:00.784710+00:00,pressao/linha1,3.418,bar,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,nivel/reservatorio,67.832,%,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,bombeamento/vazao,188.439,m3/h,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,pressao/linha1,3.422,bar,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,qualidade/cloro,1.886,mg/L,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,qualidade/ph,7.218,pH,True,"{""sim"": true}"
2025-08-20T04:14:00.784710+00:00,decantacao/turbidez,0.398,NTU,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,nivel/reservatorio,74.867,%,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,bombeamento/vazao,186.52,m3/h,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,pressao/linha1,3.404,bar,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,qualidade/ph,7.3,pH,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,qualidade/cloro,1.78,mg/L,True,"{""sim"": true}"
2025-08-20T04:29:00.784710+00:00,decantacao/turbidez,0.369,NTU,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,qualidade/cloro,1.864,mg/L,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,decantacao/turbidez,0.285,NTU,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,qualidade/ph,7.328,pH,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,pressao/linha1,3.305,bar,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,bombeamento/vazao,179.478,m3/h,True,"{""sim"": true}"
2025-08-20T04:44:00.784710+00:00,nivel/reservatorio,73.305,%,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,nivel/reservatorio,70.156,%,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,decantacao/turbidez,0.334,NTU,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,pressao/linha1,3.33,bar,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,bombeamento/vazao,170.561,m3/h,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,qualidade/cloro,2.065,mg/L,True,"{""sim"": true}"
2025-08-20T04:59:00.784710+00:00,qualidade/ph,7.25,pH,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,decantacao/turbidez,0.309,NTU,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,pressao/linha1,3.322,bar,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,nivel/reservatorio,68.71,%,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,qualidade/cloro,1.924,mg/L,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,bombeamento/vazao,180.931,m3/h,True,"{""sim"": true}"
2025-08-20T05:14:00.784710+00:00,qualidade/ph,7.202,pH,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,qualidade/ph,7.199,pH,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,bombeamento/vazao,176.608,m3/h,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,pressao/linha1,3.247,bar,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,decantacao/turbidez,0.386,NTU,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,nivel/reservatorio,67.107,%,True,"{""sim"": true}"
2025-08-20T05:29:00.784710+00:00,qualidade/cloro,1.814,mg/L,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,qualidade/ph,7.283,pH,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,decantacao/turbidez,0.398,NTU,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,bombeamento/vazao,161.522,m3/h,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,pressao/linha1,3.306,bar,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,qualidade/cloro,2.04,mg/L,True,"{""sim"": true}"
2025-08-20T05:44:00.784710+00:00,nivel/reservatorio,74.66,%,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,decantacao/turbidez,0.388,NTU,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,pressao/linha1,3.246,bar,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,nivel/reservatorio,67.547,%,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,qualidade/ph,7.285,pH,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,bombeamento/vazao,179.038,m3/h,True,"{""sim"": true}"
2025-08-20T05:59:00.784710+00:00,qualidade/cloro,1.81,mg/L,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,qualidade/ph,7.268,pH,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,decantacao/turbidez,0.293,NTU,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,qualidade/cloro,2.038,mg/L,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,bombeamento/vazao,180.966,m3/h,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,pressao/linha1,3.365,bar,True,"{""sim"": true}"
2025-08-20T06:14:00.784710+00:00,nivel/reservatorio,66.415,%,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,decantacao/turbidez,0.19,NTU,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,qualidade/ph,7.191,pH,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,nivel/reservatorio,69.01,%,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,qualidade/cloro,2.024,mg/L,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,bombeamento/vazao,191.681,m3/h,True,"{""sim"": true}"
2025-08-20T06:29:00.784710+00:00,pressao/linha1,3.357,bar,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,qualidade/cloro,1.849,mg/L,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,bombeamento/vazao,166.486,m3/h,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,pressao/linha1,3.185,bar,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,qualidade/ph,7.24,pH,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,decantacao/turbidez,0.234,NTU,True,"{""sim"": true}"
2025-08-20T06:44:00.784710+00:00,nivel/reservatorio,64.718,%,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,nivel/reservatorio,65.54,%,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,qualidade/ph,7.228,pH,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,qualidade/cloro,1.65,mg/L,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,bombeamento/vazao,163.426,m3/h,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,pressao/linha1,3.25,bar,True,"{""sim"": true}"
2025-08-20T06:59:00.784710+00:00,decantacao/turbidez,0.389,NTU,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,decantacao/turbidez,0.294,NTU,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,qualidade/ph,7.229,pH,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,nivel/reservatorio,68.993,%,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,qualidade/cloro,2.091,mg/L,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,bombeamento/vazao,156.947,m3/h,True,"{""sim"": true}"
2025-08-20T07:14:00.784710+00:00,pressao/linha1,3.406,bar,True,"{""sim"": true}"
2025-08-20T07:29:00.784710+00:00,qualidade/cloro,1.849,mg/L,True,"{""sim"": true}"
2025-08-20T07:29:00.784710+00:00,bombeamento/vazao,165.554,m3/h,True,"{""sim"": true}"
2025-08-20T07:29:00.784710+00:00,nivel/reservatorio,67.424,%,True,"{""sim"": true}"
2025-08-20T07:29:00.784710+00:00,pressao/linha1,3.163,bar,True,"{""sim"": true}"
